X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 634.36; 7456.000;    0.000;    0.000
 634.52;11468.000;    0.000;    0.000
 634.67;12352.000;    0.000;    0.000
 634.83; 9088.000;    0.000;    0.000
 634.99;15232.000;    0.000;    0.000
 635.15;18720.000;    0.000;    0.000
 635.31;12408.000;    0.000;    0.000
 635.47;12312.000;    0.000;    0.000
 635.62; 9828.000;    0.000;    0.000
 635.78;15344.000;    0.000;    0.000
 635.94; 9724.000;    0.000;    0.000
 636.10; 7428.000;    0.000;    0.000
 636.26;12880.000;    0.000;    0.000
 636.42;12760.000;    0.000;    0.000
 636.58;12836.000;    0.000;    0.000
 636.73;16424.000;    0.000;    0.000
 636.89;18332.000;    0.000;    0.000
 637.05;12776.000;    0.000;    0.000
 637.21;15404.000;    0.000;    0.000
 637.37; 9200.000;    0.000;    0.000
 637.53;10688.000;    0.000;    0.000
 637.68;14940.000;    0.000;    0.000
 637.84;12280.000;    0.000;    0.000
 638.00;11780.000;    0.000;    0.000
 638.16;21300.000;    0.000;    0.000
 638.32;15616.000;    0.000;    0.000
 638.48;11952.000;    0.000;    0.000
 638.63;10532.000;    0.000;    0.000
 638.79;22408.000;    0.000;    0.000
 638.95;14180.000;    0.000;    0.000
 639.11;11424.000;    0.000;    0.000
 639.27; 9464.000;    0.000;    0.000
 639.43;12160.000;    0.000;    0.000
 639.58;14412.000;    0.000;    0.000
 639.74;17216.000;    0.000;    0.000
 639.90; 8256.000;    0.000;    0.000
 640.06;15808.000;    0.000;    0.000
 640.22;19728.000;    0.000;    0.000
 640.37;14808.000;    0.000;    0.000
 640.53; 5960.000;    0.000;    0.000
 640.69; 9424.000;    0.000;    0.000
 640.85;11320.000;    0.000;    0.000
 641.01;12168.000;    0.000;    0.000
 641.17;11884.000;    0.000;    0.000
 641.32;12248.000;    0.000;    0.000
 641.48;11884.000;    0.000;    0.000
 641.64;13596.000;    0.000;    0.000
 641.80;15380.000;    0.000;    0.000
 641.96; 9944.000;    0.000;    0.000
 642.11;15928.000;    0.000;    0.000
 642.27;18488.000;    0.000;    0.000
 642.43;15492.000;    0.000;    0.000
 642.59;10680.000;    0.000;    0.000
 642.75;11568.000;    0.000;    0.000
 642.90; 9104.000;    0.000;    0.000
 643.06;14272.000;    0.000;    0.000
 643.22;14896.000;    0.000;    0.000
 643.38;13952.000;    0.000;    0.000
 643.54;10652.000;    0.000;    0.000
 643.69;11660.000;    0.000;    0.000
 643.85;11624.000;    0.000;    0.000
 644.01;18384.000;    0.000;    0.000
 644.17;10256.000;    0.000;    0.000
 644.33; 9908.000;    0.000;    0.000
 644.48;14448.000;    0.000;    0.000
 644.64;15688.000;    0.000;    0.000
 644.80;11712.000;    0.000;    0.000
 644.96;13316.000;    0.000;    0.000
 645.12; 9960.000;    0.000;    0.000
 645.27;10576.000;    0.000;    0.000
 645.43;15372.000;    0.000;    0.000
 645.59;18248.000;    0.000;    0.000
 645.75;13988.000;    0.000;    0.000
