X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 637.53;10132.000;    0.000;    0.000
 637.68;14356.000;    0.000;    0.000
 637.84;12264.000;    0.000;    0.000
 638.00;11064.000;    0.000;    0.000
 638.16;19916.000;    0.000;    0.000
 638.32;14944.000;    0.000;    0.000
 638.48;11536.000;    0.000;    0.000
 638.63;10100.000;    0.000;    0.000
 638.79;21220.000;    0.000;    0.000
 638.95;13484.000;    0.000;    0.000
 639.11;11188.000;    0.000;    0.000
 639.27; 9084.000;    0.000;    0.000
 639.43;11736.000;    0.000;    0.000
 639.58;13876.000;    0.000;    0.000
 639.74;16360.000;    0.000;    0.000
 639.90; 8024.000;    0.000;    0.000
 640.06;15012.000;    0.000;    0.000
 640.22;18788.000;    0.000;    0.000
 640.37;14192.000;    0.000;    0.000
 640.53; 5892.000;    0.000;    0.000
 640.69; 9140.000;    0.000;    0.000
 640.85;10928.000;    0.000;    0.000
 641.01;11604.000;    0.000;    0.000
 641.17;11224.000;    0.000;    0.000
 641.32;11656.000;    0.000;    0.000
 641.48;11448.000;    0.000;    0.000
 641.64;12916.000;    0.000;    0.000
 641.80;14640.000;    0.000;    0.000
 641.96; 9560.000;    0.000;    0.000
 642.11;15084.000;    0.000;    0.000
 642.27;17644.000;    0.000;    0.000
 642.43;14700.000;    0.000;    0.000
 642.59;10340.000;    0.000;    0.000
 642.75;11180.000;    0.000;    0.000
 642.90; 8948.000;    0.000;    0.000
 643.06;13964.000;    0.000;    0.000
 643.22;14076.000;    0.000;    0.000
 643.38;13444.000;    0.000;    0.000
 643.54;10372.000;    0.000;    0.000
 643.69;11236.000;    0.000;    0.000
 643.85;11272.000;    0.000;    0.000
 644.01;17408.000;    0.000;    0.000
 644.17; 9772.000;    0.000;    0.000
 644.33; 9492.000;    0.000;    0.000
 644.48;13780.000;    0.000;    0.000
 644.64;15140.000;    0.000;    0.000
 644.80;11284.000;    0.000;    0.000
 644.96;12684.000;    0.000;    0.000
 645.12; 9500.000;    0.000;    0.000
 645.27; 9168.000;    0.000;    0.000
